CustomerID,Segment,Region,PlanID,SignupDate
C1001,SMB,EMEA,P1,2024-05-01
C1002,SMB,EMEA,P1,2024-01-01
C1003,SMB,EMEA,P1,2023-03-01
C1004,SMB,EMEA,P1,2024-08-01
C1005,Mid-Market,NA,P2,2024-08-01
C1006,SMB,EMEA,P1,2023-03-01
C1007,Mid-Market,EMEA,P2,2023-12-01
C1008,Mid-Market,EMEA,P2,2024-03-01
C1009,SMB,NA,P1,2024-04-01
C1010,SMB,EMEA,P1,2024-05-01
C1011,Mid-Market,APAC,P2,2023-09-01
C1012,SMB,APAC,P1,2023-06-01
C1013,SMB,EMEA,P1,2023-08-01
C1014,Mid-Market,NA,P2,2023-09-01
C1015,Mid-Market,NA,P2,2024-07-01
C1016,Enterprise,APAC,P3,2024-06-01
C1017,SMB,NA,P1,2023-08-01
C1018,SMB,EMEA,P1,2023-09-01
C1019,Mid-Market,NA,P2,2023-12-01
C1020,Mid-Market,EMEA,P2,2024-06-01
C1021,SMB,EMEA,P1,2024-01-01
C1022,SMB,EMEA,P1,2023-03-01
C1023,SMB,EMEA,P1,2024-07-01
C1024,SMB,EMEA,P1,2023-10-01
C1025,SMB,EMEA,P1,2023-10-01
C1026,SMB,EMEA,P1,2023-06-01
C1027,SMB,NA,P1,2023-03-01
C1028,Enterprise,EMEA,P3,2023-07-01
C1029,Enterprise,EMEA,P3,2024-01-01
C1030,SMB,EMEA,P1,2023-05-01
C1031,SMB,EMEA,P1,2024-05-01
C1032,Mid-Market,EMEA,P2,2023-07-01
C1033,SMB,APAC,P1,2023-06-01
C1034,Mid-Market,EMEA,P2,2024-08-01
C1035,Mid-Market,NA,P2,2023-03-01
C1036,SMB,EMEA,P1,2023-10-01
C1037,SMB,NA,P1,2023-06-01
C1038,Enterprise,NA,P3,2023-12-01
C1039,Enterprise,APAC,P3,2023-04-01
C1040,Mid-Market,NA,P2,2023-11-01
C1041,SMB,NA,P1,2024-02-01
C1042,Enterprise,APAC,P3,2023-03-01
C1043,Mid-Market,EMEA,P2,2024-08-01
C1044,Enterprise,APAC,P3,2024-05-01
C1045,SMB,EMEA,P1,2023-11-01
C1046,SMB,EMEA,P1,2024-06-01
C1047,Enterprise,NA,P3,2024-06-01
C1048,SMB,EMEA,P1,2024-04-01
C1049,SMB,NA,P1,2023-03-01
C1050,Enterprise,APAC,P3,2023-07-01
C1051,Mid-Market,EMEA,P2,2024-02-01
C1052,SMB,NA,P1,2023-09-01
C1053,SMB,EMEA,P1,2024-05-01
C1054,Mid-Market,EMEA,P2,2024-08-01
C1055,SMB,NA,P1,2024-01-01
C1056,SMB,APAC,P1,2024-07-01
C1057,SMB,EMEA,P1,2023-10-01
C1058,SMB,EMEA,P1,2023-05-01
C1059,SMB,EMEA,P1,2023-05-01
C1060,SMB,EMEA,P1,2023-07-01
C1061,SMB,EMEA,P1,2023-07-01
C1062,Mid-Market,APAC,P2,2024-07-01
C1063,SMB,NA,P1,2024-05-01
C1064,SMB,EMEA,P1,2024-05-01
C1065,SMB,EMEA,P1,2023-06-01
C1066,SMB,APAC,P1,2023-06-01
C1067,Mid-Market,APAC,P2,2023-06-01
C1068,SMB,APAC,P1,2024-05-01
C1069,Enterprise,APAC,P3,2024-08-01
C1070,SMB,EMEA,P1,2024-01-01
C1071,Enterprise,APAC,P3,2024-02-01
C1072,SMB,APAC,P1,2024-03-01
C1073,Enterprise,NA,P3,2023-12-01
C1074,SMB,APAC,P1,2023-11-01
C1075,Mid-Market,EMEA,P2,2023-03-01
C1076,SMB,APAC,P1,2024-02-01
C1077,SMB,EMEA,P1,2023-03-01
C1078,Mid-Market,NA,P2,2024-07-01
C1079,SMB,APAC,P1,2023-04-01
C1080,Enterprise,EMEA,P3,2024-06-01
C1081,Mid-Market,EMEA,P2,2024-06-01
C1082,Enterprise,NA,P3,2024-05-01
C1083,Mid-Market,EMEA,P2,2024-07-01
C1084,SMB,EMEA,P1,2023-04-01
C1085,SMB,EMEA,P1,2023-10-01
C1086,SMB,APAC,P1,2023-11-01
C1087,SMB,NA,P1,2024-06-01
C1088,SMB,EMEA,P1,2024-05-01
C1089,SMB,EMEA,P1,2023-12-01
C1090,Enterprise,EMEA,P3,2024-06-01
C1091,SMB,NA,P1,2024-09-01
C1092,SMB,APAC,P1,2024-09-01
C1093,Mid-Market,NA,P2,2024-09-01
C1094,SMB,NA,P1,2024-10-01
C1095,Enterprise,EMEA,P3,2024-10-01
C1096,SMB,EMEA,P1,2024-10-01
C1097,Mid-Market,EMEA,P2,2024-10-01
