CustomerID,Segment,Region,PlanID,Month,MRR,MRRDelta,COGS,MovementType
C1091,SMB,NA,P1,2024-09-01,88.89,88.89,29.48,New
C1092,SMB,APAC,P1,2024-09-01,112.39,112.39,26.83,New
C1093,Mid-Market,NA,P2,2024-09-01,576.0,576.0,160.82,New
C1091,SMB,NA,P1,2024-10-01,88.89,0.0,28.67,Renewal
C1092,SMB,APAC,P1,2024-10-01,112.39,0.0,31.84,Renewal
C1093,Mid-Market,NA,P2,2024-10-01,576.0,0.0,151.81,Renewal
C1094,SMB,NA,P1,2024-10-01,106.38,106.38,25.14,New
C1095,Enterprise,EMEA,P3,2024-10-01,2316.77,2316.77,438.59,New
C1096,SMB,EMEA,P1,2024-10-01,103.7,103.7,34.7,New
C1097,Mid-Market,EMEA,P2,2024-10-01,528.49,528.49,162.8,New
C1098,Mid-Market,NA,P2,2024-10-01,509.49,509.49,140.61,New
C1099,SMB,NA,P1,2024-10-01,85.16,85.16,21.36,New
C1091,SMB,NA,P1,2024-11-01,88.89,0.0,22.43,Renewal
C1092,SMB,APAC,P1,2024-11-01,112.39,0.0,34.72,Renewal
C1093,Mid-Market,NA,P2,2024-11-01,576.0,0.0,177.21,Renewal
C1094,SMB,NA,P1,2024-11-01,106.38,0.0,35.43,Renewal
C1095,Enterprise,EMEA,P3,2024-11-01,2316.77,0.0,597.7,Renewal
C1096,SMB,EMEA,P1,2024-11-01,103.7,0.0,30.73,Renewal
C1097,Mid-Market,EMEA,P2,2024-11-01,528.49,0.0,111.03,Renewal
C1098,Mid-Market,NA,P2,2024-11-01,509.49,0.0,111.78,Renewal
C1099,SMB,NA,P1,2024-11-01,0.0,-85.16,0.0,Churn
C1100,SMB,EMEA,P1,2024-11-01,88.42,88.42,25.73,New
C1101,Enterprise,EMEA,P3,2024-11-01,1725.14,1725.14,312.11,New
C1102,Mid-Market,APAC,P2,2024-11-01,551.18,551.18,116.95,New
C1103,SMB,EMEA,P1,2024-11-01,96.6,96.6,28.93,New
C1091,SMB,NA,P1,2024-12-01,88.89,0.0,17.85,Renewal
C1092,SMB,APAC,P1,2024-12-01,112.39,0.0,25.19,Renewal
C1093,Mid-Market,NA,P2,2024-12-01,576.0,0.0,153.13,Renewal
C1094,SMB,NA,P1,2024-12-01,106.38,0.0,32.32,Renewal
C1095,Enterprise,EMEA,P3,2024-12-01,2316.77,0.0,568.06,Renewal
C1096,SMB,EMEA,P1,2024-12-01,103.7,0.0,24.23,Renewal
C1097,Mid-Market,EMEA,P2,2024-12-01,528.49,0.0,150.86,Renewal
C1098,Mid-Market,NA,P2,2024-12-01,509.49,0.0,116.4,Renewal
C1100,SMB,EMEA,P1,2024-12-01,88.42,0.0,22.0,Renewal
C1101,Enterprise,EMEA,P3,2024-12-01,1725.14,0.0,439.31,Renewal
C1102,Mid-Market,APAC,P2,2024-12-01,713.72,162.54,215.48,Expansion
C1103,SMB,EMEA,P1,2024-12-01,96.6,0.0,28.85,Renewal
C1104,Mid-Market,EMEA,P2,2024-12-01,525.66,525.66,140.98,New
C1105,Mid-Market,NA,P2,2024-12-01,605.3,605.3,127.86,New
C1106,SMB,EMEA,P1,2024-12-01,94.02,94.02,23.99,New
C1091,SMB,NA,P1,2025-01-01,88.89,0.0,21.31,Renewal
C1092,SMB,APAC,P1,2025-01-01,112.39,0.0,26.59,Renewal
C1093,Mid-Market,NA,P2,2025-01-01,576.0,0.0,182.45,Renewal
C1094,SMB,NA,P1,2025-01-01,106.38,0.0,27.55,Renewal
C1095,Enterprise,EMEA,P3,2025-01-01,1906.73,-410.04,463.55,Contraction
C1096,SMB,EMEA,P1,2025-01-01,103.7,0.0,33.1,Renewal
C1097,Mid-Market,EMEA,P2,2025-01-01,661.03,132.54,177.97,Expansion
